row_index,actual_price_idr,base_value_log1p_price,predicted_log1p_price,fac_kolam_renang,fac_ac,fac_shower,fac_jemput_bandara,fac_televisi,fac_resepsionis_24jam,fac_laundry,fac_restoran,fac_brankas,fac_bar,fac_bebas_rokok,fac_keamanan,fac_spa,fac_concierge,fac_lift,fac_pijat,fac_dokter,fac_gym,fac_kolam_renang_pribadi,fac_kursi_roda,fac_porter,fac_smart_tv,fac_makanan_halal,fac_streaming,fac_sarapan,fac_bidet,fac_ruang_konferensi,rating,review_count,star,regency_Badung,regency_Bangli,regency_Buleleng,regency_Denpasar,regency_Gianyar,regency_Jembrana,regency_Klungkung,regency_Other,regency_Tabanan,category_Apartemen,category_Glamping,category_Guest House,category_Hostel,category_Hotel,category_Hotel Privat,category_Other,category_Resort,category_Resort Villa,category_Villa
10,460504.0,14.040013,12.641623,-0.24643195,-0.017494697,-0.026791405,-0.013607295,0.00014594421,-0.009719616,-0.026714716,-0.02439406,-0.021016173,-0.08003893,-0.015643459,0.004939704,-0.0056025176,-0.018266415,-0.013347934,0.0008982701,-0.0031341314,-0.024932722,-0.08485689,-0.00054356176,0.00024713489,-0.0015621874,0.00045193176,-0.0027225586,0.0015208576,-7.572829e-05,0.0,-0.30834255,-0.13387313,-0.27762,0.001725151,0.0,0.0,0.0009139428,-0.003912441,-0.0012138934,0.0,0.0,0.0015214605,0.00022346662,0.0,0.0007399925,0.0,-0.01217822,0.0,0.00021406858,-0.034367442,-0.00056251814,-0.0029651723
11,172983.0,14.040013,12.459809,0.011377919,-0.012820372,-0.023993928,-0.013429794,8.3102495e-06,-0.0046102204,-0.031715225,-0.022261554,-0.029430026,-0.063945696,-0.00047309155,0.0026978212,-0.014621094,-0.03063044,-0.009331136,0.0009801073,-0.003569868,-0.038884938,-0.08699673,-0.0023771853,0.00059292925,-0.0027815755,0.00045193176,-0.0010149524,0.0015208576,-7.572829e-05,0.0,0.01295873,0.022622848,-1.1373978,-0.0049949586,0.0,0.0,-0.008366092,-0.004032072,-0.002319105,0.0,0.0,0.0017111789,0.0002264511,0.0,-0.03401963,0.0,0.003486604,0.0,0.00034097154,-0.049231656,-0.00053704396,-0.0053185974
12,425024.0,14.040013,12.997904,0.013328779,-0.008965122,-0.01724963,0.0036234164,-0.00035451597,-0.01145924,0.011825195,0.0026054312,0.012073001,-0.07595997,-0.0062472112,0.0022185575,-0.0067708828,-0.01709309,0.0063241576,-0.0023533818,0.0076187653,-0.027043805,-0.06701739,0.0038655843,0.014013183,-0.0016232894,0.001389355,-0.0027225586,0.0018557023,-7.572829e-05,0.0,-0.38413543,-0.12469444,-0.4623384,-0.0067189727,0.0,0.0,0.0009139428,-0.003912441,-0.00031145726,0.0,0.0,0.0015791756,0.00022346662,0.0,0.0007399925,0.0,0.007141036,0.0,0.00021406858,0.09505991,-0.0003558516,-0.001319668
13,179545.0,14.040013,13.145307,0.009891168,-0.012890708,-0.017938593,0.0027864256,0.0003436098,-0.0015958215,-0.049935628,0.0033650994,-0.040134147,-0.08629985,-0.016499138,-0.0046122167,-0.024290208,-0.039825372,0.010474231,9.8999706e-05,-0.009415271,-0.042300884,-0.08247224,-0.000725144,-0.014015522,0.0061909705,0.00045193176,-0.002362636,0.0009838507,-7.572829e-05,0.0,0.25664568,-0.11798185,-0.51303065,-0.0029051001,0.0,0.0,-0.008366092,-0.004303263,-0.0012138934,0.0,0.0,0.0017535199,0.00022346662,0.0,0.00037725104,0.0,-0.035739742,0.0,0.00034097154,-0.049476616,-0.00053704396,-0.009690424
14,305007.0,14.040013,12.618059,0.011137888,-0.011346376,-0.022934513,0.0023236698,0.0020026574,-0.00037018053,0.0114923585,0.0024234552,0.009587144,0.032083824,0.0035461693,-0.0046122167,-0.009191249,0.018375289,0.009800876,0.0010075744,-0.0053599803,-0.027473504,-0.06849708,-0.0018040091,-0.004561164,-0.002256517,0.0011350113,-0.0010149524,0.0015208576,-7.572829e-05,0.0,-0.19409984,-0.091526605,-1.043392,0.0016594009,0.0,0.0,0.0009139428,-0.0013891017,-0.0014817792,0.0,0.0,0.0015791756,0.00023900854,0.0,0.0007399925,0.0,-0.006430418,0.0,0.00034097154,-0.033242084,-0.00053704396,-0.0022673905
15,2346440.0,14.040013,14.774168,0.026251838,-0.013253345,-0.022474758,0.007857141,0.0023621856,-0.0034119266,0.009174567,0.0029507463,-0.022294397,0.014674198,0.0029265329,0.004939704,0.017747415,0.032894503,0.014569819,-0.0044613983,-0.012638846,0.0733713,-0.08437617,0.004565973,-0.011426964,0.0007802648,0.0002835718,-0.0006550297,0.00096918055,-7.572829e-05,0.0,0.282373,-0.106328815,0.5846657,0.0011099937,0.0,0.0,0.00024670849,-0.0011859329,-0.00020731974,0.0,0.0,0.0044100434,0.00025345292,0.0,0.00037725104,0.0,-0.024065413,0.0,0.000995222,-0.048905797,-0.00054142997,-0.00029263122
16,304891.0,14.040013,12.653894,0.011400068,-0.010611185,-0.017655725,0.0023236698,0.0011421965,-0.00037018053,0.0114923585,0.002598305,-0.01655351,0.032150205,0.0035461693,0.004939704,-0.009600891,-0.015954992,0.009800876,0.0009801073,-0.004309015,-0.030115029,-0.067319416,0.01114817,0.00024713489,-0.0025536267,0.00045193176,-0.0010149524,0.0015208576,-7.572829e-05,0.0,-0.16481985,-0.06978836,-1.0288409,0.0017718385,0.0,0.0,0.0009139428,-0.0013891017,-0.0006417504,0.0,0.0,0.0016585061,0.00023900854,0.0,0.0007399925,0.0,-0.006430418,0.0,0.00034097154,-0.0346757,-0.00053704396,-0.0022673905
17,373074.0,14.040013,12.861261,0.009892976,-0.009876691,-0.01672724,0.002249231,0.0012808099,-0.0001591447,0.013604641,0.002598305,0.012310017,0.037531063,0.0023766633,0.004939704,-0.014502763,-0.030339831,0.009800876,-0.000260138,0.0068864366,-0.03418577,-0.07176086,-0.0018040091,-0.002892135,-0.001885148,0.0011350113,-0.0010149524,0.0015208576,-7.572829e-05,0.0,0.05624877,-0.040641706,-1.0458841,-0.0025245417,0.0,0.0,-0.008366092,-0.0013891017,-0.0014817792,0.0,0.0,0.0015791756,0.00023900854,0.0,0.0007399925,0.0,-0.006430418,0.0,0.00034097154,-0.046492726,-0.00053704396,-0.0047941045
18,214090.0,14.040013,12.367309,0.013713008,-0.012322732,-0.01702316,-0.013560062,-0.00013030312,-0.00037018053,-0.026714716,0.0026054312,-0.021016173,-0.056144077,-0.0033574083,0.0026978212,-0.008359143,-0.016899813,-0.008008828,0.0009801073,-0.0033241436,-0.03472942,-0.07612432,-0.0018040091,0.00024713489,-0.00090871635,0.00045193176,-0.0010149524,0.0015208576,-7.572829e-05,0.0,-0.15663742,-0.0013152342,-1.185648,0.001725151,0.0,0.0,0.00024670849,-0.004032072,-0.002319105,0.0,0.0,0.0017111789,0.00020902224,0.0,0.0007399925,0.0,-0.0071920073,0.0,0.00034097154,-0.037360437,-0.00053704396,-0.0029651723
19,163144.0,14.040013,12.459534,-0.24685688,-0.01784304,-0.023107694,-0.013429794,6.869313e-05,-0.0001591447,-0.035014536,-0.02439406,-0.029430026,-0.063945696,-0.0010383922,0.0026978212,-0.014873406,-0.032727756,-0.015125832,0.0008982701,-0.003569868,-0.044060133,-0.091771364,-0.002264722,0.00059292925,-0.002689438,0.00045193176,-0.0006550297,0.0015208576,-7.572829e-05,0.0,0.09660248,0.016892472,-0.96640706,-0.002747081,0.0,0.0,-0.0022583317,-0.004032072,-0.002319105,0.0,0.0,0.0015741332,0.0002264511,0.0,0.00083498226,0.0,-0.0071920073,0.0,0.00034097154,-0.04913952,-0.00056251814,-0.005491886
20,274770.0,14.040013,12.489319,0.012213167,-0.012821069,-0.03155678,0.002249231,0.00021854267,-0.0046102204,0.0114923585,-0.022061724,0.011534056,-0.05599321,-0.002227076,0.0026978212,-0.007949501,0.021596907,-0.008008828,1.9892119e-05,0.006349236,-0.0323076,-0.07963991,-0.0018040091,-0.004561164,-0.0015382976,-0.0033878984,-0.0010149524,0.0015208576,-7.572829e-05,0.0,-0.21464325,0.0063178292,-1.0979338,-0.0049635335,0.0,0.0,0.0009139428,-0.004032072,-0.0014817792,0.0,0.0,0.0016318483,0.0002264511,0.0,0.0007399925,0.0,0.0036813524,0.0,0.00034097154,-0.039022192,-0.00053704396,-0.0022673905
